lesson_id,filename,s3_url,cdn_url
e1-1,bienvenue-developper-e-commerce-1-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/bienvenue-developper-e-commerce-1-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/bienvenue-developper-e-commerce-1-v1_720p_afrique.mp4
e1-1b,bienvenue-fondamentaux-e-commerce-1-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/bienvenue-fondamentaux-e-commerce-1-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/bienvenue-fondamentaux-e-commerce-1-v1_720p_afrique.mp4
e2-1,bienvenue-shopify-1-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/bienvenue-shopify-1-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/bienvenue-shopify-1-v1_720p_afrique.mp4
e4-2,configuration-paiements-expeditions-1-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/configuration-paiements-expeditions-1-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/configuration-paiements-expeditions-1-v1_720p_afrique.mp4
e5-1,creation-pages-principales-e-commerce-1-v2_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/creation-pages-principales-e-commerce-1-v2_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/creation-pages-principales-e-commerce-1-v2_720p_afrique.mp4
e5-1b,creation-pages-principales-e-commerce-2-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/creation-pages-principales-e-commerce-2-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/creation-pages-principales-e-commerce-2-v1_720p_afrique.mp4
e2-1b,decouverte-et-configuration-shopify-1-v2_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/decouverte-et-configuration-shopify-1-v2_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/decouverte-et-configuration-shopify-1-v2_720p_afrique.mp4
e5-3,extensions-applications-shopify-1-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/extensions-applications-shopify-1-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/extensions-applications-shopify-1-v1_720p_afrique.mp4
e7-1,gestion-commandes-relation-client-1-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/gestion-commandes-relation-client-1-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/gestion-commandes-relation-client-1-v1_720p_afrique.mp4
e6-1,gestion-index-google-e-commerce-1-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/gestion-index-google-e-commerce-1-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/gestion-index-google-e-commerce-1-v1_720p_afrique.mp4
